Category_key,Grouping,Category,Condiment_status,Mixdish_status,Inulin_status
1,Category 1,Milk and Dairy,0,0,0
2,Category 1,Protein Foods,0,0,0
3,Category 1,Mixed Dishes,0,1,0
4,Category 1,Grains,0,0,0
5,Category 1,Snacks and Sweets,0,0,1
6,Category 1,Fruit,1,0,0
7,Category 1,Vegetables,1,0,0
8,Category 1,Beverages,0,0,0
9,Category 1,Alcoholic Beverages,0,0,0
10,Category 1,Water,0,0,0
11,Category 1,Fats and Oils,1,0,0
12,Category 1,Condiments and Sauces,1,0,0
13,Category 1,Sugars,1,0,0
14,Category 1,Baby Foods and Formulas,0,0,0
15,Category 1,Other,1,0,0
16,Category 2,Milk,0,0,0
17,Category 2,Flavored Milk,0,0,0
18,Category 2,Dairy Drinks,0,0,0
19,Category 2,Cheese,0,0,0
20,Category 2,Yogurt,0,0,0
21,Category 2,Plant-based Dairy,0,0,0
22,Category 2,Meats,0,0,0
23,Category 2,Poultry,0,0,0
24,Category 2,Seafood,0,0,0
25,Category 2,Eggs,0,0,0
26,Category 2,Cured meats/Poultry,0,0,0
27,Category 2,Plant-based Protein Foods,0,0,0
28,Category 2,"Meat, Poultry, Seafood",0,0,0
29,Category 2,Bean/Vegetable-based,0,0,0
30,Category 2,Grain-based,0,0,0
31,Category 2,Asian,0,0,0
32,Category 2,Mexican,0,0,0
33,Category 2,Pizza,0,0,0
34,Category 2,Sandwiches,0,0,0
35,Category 2,Soups,0,0,0
36,Category 2,Cooked Grains,0,0,0
37,Category 2,"Breads, Rolls, Tortillas",0,0,1
38,Category 2,Quick Breads and Bread Products,0,0,0
39,Category 2,Ready-to-Eat Cereals,0,0,0
40,Category 2,Cooked Cereals,0,0,0
41,Category 2,Savory Snacks,0,0,0
42,Category 2,Crackers,0,0,0
43,Category 2,Snack/Meal bars,0,0,1
44,Category 2,Sweet Bakery Products,0,0,0
45,Category 2,Candy,0,0,0
46,Category 2,Other Desserts,0,0,0
47,Category 2,Apples,0,0,0
48,Category 2,Bananas,0,0,0
49,Category 2,Grapes,0,0,0
50,Category 2,Peaches and nectarines,0,0,0
51,Category 2,Strawberries,0,0,0
52,Category 2,Blueberries and other berries,0,0,0
53,Category 2,Citrus fruits,0,0,0
54,Category 2,Melons,0,0,0
55,Category 2,Dried fruits,0,0,0
56,Category 2,Other fruits and fruit salads,0,0,0
57,Category 2,Pears,0,0,0
58,Category 2,Pineapple,0,0,0
59,Category 2,Mango and papaya,0,0,0
60,Category 2,"Vegetables, excluding Potatoes",0,0,0
61,Category 2,White Potatoes,0,0,0
62,Category 2,100% Juice,0,0,0
63,Category 2,Diet Beverages,0,0,0
64,Category 2,Sweetened Beverages,0,0,0
65,Category 2,Coffee and Tea,0,0,0
66,Category 2,Beer,0,0,0
