wweaicatnumfood,wweaicatdescfood,parentfoodcode,parentfooddesc,ffbin1,ffcont1,ffcont1fdd,ffbin9,ffcont9,ffcont9fdd,ingseq,ingcode,ingdesc,ingretcode,ingfoodprop,ingfermscore,fibin1,fibin9,fddfermweight,foodcodesource,fooddescsource,manualmatch,fddfermweight_avg,_merge,fermpropfddweight,lmcat
9602,Human milk,11000000,"Milk, human",0,0,0,0,0,0,1,,,,,,0,0,0,,,,,Master only (1),,1
1004,"Milk, reduced fat",11100000,"Milk, NFS",0,0,0,0,0,0,4,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0,0,0,0,0,0,,,,,Master only (1),0,1
1004,"Milk, reduced fat",11100000,"Milk, NFS",0,0,0,0,0,0,1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",0,0,0,0,0,0,,,,,Master only (1),0,1
1004,"Milk, reduced fat",11100000,"Milk, NFS",0,0,0,0,0,0,2,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0,0,0,0,0,0,,,,,Master only (1),0,1
1004,"Milk, reduced fat",11100000,"Milk, NFS",0,0,0,0,0,0,3,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0,0,0,0,0,0,,,,,Master only (1),0,1
1002,"Milk, whole",11111000,"Milk, whole",0,0,0,0,0,0,1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",0,1,0,0,0,0,,,,,Master only (1),1,1
1004,"Milk, reduced fat",11112110,"Milk, reduced fat (2%)",0,0,0,0,0,0,1,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0,1,0,0,0,0,,,,,Master only (1),1,1
1006,"Milk, lowfat",11112210,"Milk, low fat (1%)",0,0,0,0,0,0,1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0,1,0,0,0,0,,,,,Master only (1),1,1
1008,"Milk, nonfat",11113000,"Milk, fat free (skim)",0,0,0,0,0,0,1,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0,1,0,0,0,0,,,,,Master only (1),1,1
1006,"Milk, lowfat",11114300,"Milk, lactose free, low fat (1%)",0,0,0,0,0,0,1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0,1,0,0,0,0,,,,,Master only (1),1,1
1008,"Milk, nonfat",11114320,"Milk, lactose free, fat free (skim)",0,0,0,0,0,0,1,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0,1,0,0,0,0,,,,,Master only (1),1,1
1004,"Milk, reduced fat",11114330,"Milk, lactose free, reduced fat (2%)",0,0,0,0,0,0,1,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0,1,0,0,0,0,,,,,Master only (1),1,1
1002,"Milk, whole",11114350,"Milk, lactose free, whole",0,0,0,0,0,0,1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",0,1,0,0,0,0,,,,,Master only (1),1,1
1002,"Milk, whole",11115300,Buttermilk,1,1,1,1,1,1,1,1088,"Buttermilk, low fat",0,1,1,1,1,0,,,,,Master only (1),1,3
1002,"Milk, whole",11115300,Buttermilk,1,1,1,1,1,1,1,1088,"Buttermilk, low fat",0,1,1,1,1,0,,,,,Master only (1),1,3
1002,"Milk, whole",11115300,Buttermilk,1,1,1,1,1,1,1,1088,"Buttermilk, low fat",0,1,1,1,1,0,,,,,Master only (1),1,3
1002,"Milk, whole",11115300,Buttermilk,1,1,1,1,1,1,1,1088,"Buttermilk, low fat",0,1,1,1,1,0,,,,,Master only (1),1,3
1006,"Milk, lowfat",11115400,Kefir,1,1,1,1,1,1,1,1289,"Kefir, lowfat, plain, LIFEWAY",0,1,1,1,1,0,,,,,Master only (1),1,3
1006,"Milk, lowfat",11115400,Kefir,1,1,1,1,1,1,2,1290,"Kefir, lowfat, strawberry, LIFEWAY",0,1,1,1,1,0,,,,,Master only (1),1,3
1002,"Milk, whole",11116000,Goat milk,0,0,0,0,0,0,1,1106,"Milk, goat, fluid, with added vitamin D",0,1,0,0,0,0,,,,,Master only (1),1,1
1008,"Milk, nonfat",11120000,"Milk, dry, reconstituted, nonfat",0,0,0,0,0,0,1,1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",0,0,0,0,0,0,,,,,Master only (1),0,1
1008,"Milk, nonfat",11120000,"Milk, dry, reconstituted, nonfat",0,0,0,0,0,0,1,1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",0,0,0,0,0,0,,,,,Master only (1),0,1
1008,"Milk, nonfat",11120000,"Milk, dry, reconstituted, nonfat",0,0,0,0,0,0,1,1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",0,0,0,0,0,0,,,,,Master only (1),0,1
1008,"Milk, nonfat",11120000,"Milk, dry, reconstituted, nonfat",0,0,0,0,0,0,2,14411,"Beverages, water, tap, drinking",0,1,0,0,0,0,,,,,Master only (1),1,1
1008,"Milk, nonfat",11120000,"Milk, dry, reconstituted, nonfat",0,0,0,0,0,0,2,14411,"Beverages, water, tap, drinking",0,1,0,0,0,0,,,,,Master only (1),1,1
1008,"Milk, nonfat",11120000,"Milk, dry, reconstituted, nonfat",0,0,0,0,0,0,2,14411,"Beverages, water, tap, drinking",0,1,0,0,0,0,,,,,Master only (1),1,1
1002,"Milk, whole",11121100,"Milk, dry, reconstituted, whole",0,0,0,0,0,0,1,1090,"Milk, dry, whole, with added vitamin D",0,0,0,0,0,0,,,,,Master only (1),0,1
1002,"Milk, whole",11121100,"Milk, dry, reconstituted, whole",0,0,0,0,0,0,2,14411,"Beverages, water, tap, drinking",0,1,0,0,0,0,,,,,Master only (1),1,1
1002,"Milk, whole",11210050,"Milk, evaporated, NS as to fat content",0,0,0,0,0,0,1,1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",0,1,0,0,0,0,,,,,Master only (1),1,1
1002,"Milk, whole",11211050,"Milk, evaporated, whole",0,0,0,0,0,0,1,1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",0,1,0,0,0,0,,,,,Master only (1),1,1
1004,"Milk, reduced fat",11211400,"Milk, evaporated, reduced fat (2%)",0,0,0,0,0,0,1,1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",0,1,0,0,0,0,,,,,Master only (1),1,1
